r_kpc,phi_mid,lap_phi,K_free_phi,V_eff,K_eff_phi
44.34430538172715,0.0003669749408000541,1.1197859110246263e-06,-1.1197859110246263e-06,0.0010648515151709776,-7.290120892839089e-07
44.594555694618265,0.0003608315088610172,1.0887165289644633e-06,-1.0887165289644633e-06,0.0010474296442915202,-7.107709099889955e-07
44.84480600750938,0.00035482444272291925,1.0586758859670742e-06,-1.0586758859670742e-06,0.0010303858836124545,-6.930697890247223e-07
45.095056320400495,0.0003489499796445869,1.029624460689813e-06,-1.029624460689813e-06,0.0010137100741329547,-6.758903509556057e-07
45.34530663329161,0.00034320448079080187,1.001524457511395e-06,-1.001524457511395e-06,0.0009973923804948125,-6.592149234189711e-07
45.595556946182725,0.00033758442649809014,9.743397222211228e-07,-9.743397222211228e-07,0.0009814232791173143,-6.430265073884293e-07
45.84580725907384,0.00033208641174611403,9.480356622496386e-07,-9.480356622496386e-07,0.0009657935468216633,-6.273087487980798e-07
46.09605757196495,0.0003267071418246743,9.225791711934037e-07,-9.225791711934037e-07,0.0009504942499226018,-6.120459114804028e-07
46.34630788485607,0.0003214434281868709,8.979385573791935e-07,-8.979385573791935e-07,0.0009355167337660248,-5.972228513512582e-07
46.59655819774718,0.00031629218447947176,8.740834762011679e-07,-8.740834762011679e-07,0.0009208526126924042,-5.828249917490584e-07
46.84680851063829,0.0003112504227420139,8.509848660485678e-07,-8.509848660485678e-07,0.0009064937604068369,-5.68838299908942e-07
47.09705882352941,0.0003063152497666137,8.286148876129613e-07,-8.286148876129613e-07,0.0008924323007374972,-5.552492645127611e-07
47.34730913642052,0.00030148386361088085,8.069468663348608e-07,-8.069468663348608e-07,0.0008786605987651368,-5.420448742164974e-07
47.59755944931163,0.00029675355025672833,7.85955237885963e-07,-7.85955237885963e-07,0.0008651712523071378,-5.292125971837602e-07
47.84780976220275,0.0002921216804082492,7.656154964445046e-07,-7.656154964445046e-07,0.0008519570837404233,-5.167403615065406e-07
