model,r_scale,V0,chi2,dof,chi2_dof,success,nfev,galaxy,rank
Einasto_alpha0.18,6.155803010317907,58.90093116093084,73.81109721242866,8,9.226387151553583,True,146,UGC05764_rotmod,5.0
GenFT,0.5334718733326015,70.53846041576654,2.5751393343909834,9,0.28612659271010926,True,124,UGC05829_rotmod,2.0
NFW,58149.823266146675,8605.879329484069,1.89140820622738,9,0.21015646735859778,True,1002,UGC05829_rotmod,1.0
Burkert,4.515606282869852,110.4947987487117,3.0132243905278977,9,0.3348027100586553,True,105,UGC05829_rotmod,4.0
PseudoIso,2.6929404114623443,89.67511047803136,2.9130715588626916,9,0.3236746176514102,True,86,UGC05829_rotmod,3.0
Einasto_alpha0.18,74.64277949483584,62.21234400049504,10.870746904475997,9,1.2078607671639996,True,158,UGC05829_rotmod,5.0
GenFT,0.20161178579524247,42.737563017180406,0.7035909837068686,6,0.11726516395114477,True,129,UGC05918_rotmod,3.0
NFW,9.649355349502548,121.18236110665451,0.8585102334808868,6,0.14308503891348115,True,116,UGC05918_rotmod,4.0
Burkert,1.6288361576304362,65.86824107840741,0.38485677077883546,6,0.0641427951298059,True,85,UGC05918_rotmod,2.0
PseudoIso,0.8989135423307623,51.49151120564143,0.08273476899830594,6,0.013789128166384322,True,101,UGC05918_rotmod,1.0
Einasto_alpha0.18,22.292460603821908,44.8966369635766,1.406570830174057,6,0.23442847169567615,True,150,UGC05918_rotmod,5.0
GenFT,0.33887044893461393,115.84997796989433,6.889572329251051,13,0.5299671022500808,True,121,UGC05986_rotmod,1.0
NFW,13.32595445807409,304.2826830340628,113.46304435692805,13,8.727926488994466,True,121,UGC05986_rotmod,4.0
Burkert,2.8068611771730985,178.99080428884508,17.657540057744303,13,1.358272312134177,True,99,UGC05986_rotmod,2.0
PseudoIso,1.5739756366775615,140.102973792368,37.573986506892425,13,2.8903066543763405,True,105,UGC05986_rotmod,3.0
Einasto_alpha0.18,25.07901832900047,125.25481951934813,146.39092973499947,13,11.260840748846114,True,161,UGC05986_rotmod,5.0
GenFT,0.8516127348135892,100.01687045912983,1.0708502721062985,3,0.3569500907020995,True,131,UGC05999_rotmod,2.0
NFW,53.57333133560965,317.0262242259349,5.652262097968425,3,1.884087365989475,True,127,UGC05999_rotmod,4.0
Burkert,7.286035587219965,156.9951643170075,1.0585989634707023,3,0.35286632115690075,True,103,UGC05999_rotmod,1.0
PseudoIso,4.361563659426943,126.57489727760853,1.607034758695125,3,0.535678252898375,True,102,UGC05999_rotmod,3.0
Einasto_alpha0.18,104.00229322530176,101.84412073880242,7.312105675146913,3,2.4373685583823046,True,138,UGC05999_rotmod,5.0
GenFT,0.3936986092981317,86.95327869284839,0.22351328163162149,7,0.03193046880451735,True,129,UGC06399_rotmod,1.0
NFW,21.55937371392296,263.95872428332495,6.122875725521591,7,0.8746965322173701,True,143,UGC06399_rotmod,4.0
Burkert,3.3202978866466855,136.01098596225398,0.24192925060586423,7,0.034561321515123464,True,97,UGC06399_rotmod,2.0
PseudoIso,1.9249272335003351,108.72358588907414,0.668433785109482,7,0.09549054072992601,True,104,UGC06399_rotmod,3.0
Einasto_alpha0.18,34.63293013650925,89.55479881547653,9.054346949560992,7,1.2934781356515703,True,145,UGC06399_rotmod,5.0
GenFT,0.294859396623728,82.49421075140611,21.183993679817714,15,1.412266245321181,True,121,UGC06446_rotmod,5.0
NFW,6.134129227382453,183.715559189102,3.149790159768822,15,0.2099860106512548,True,122,UGC06446_rotmod,1.0
Burkert,2.0771680230084346,123.37653789205409,11.704701740401442,15,0.7803134493600961,True,99,UGC06446_rotmod,4.0
PseudoIso,0.8857939305328312,89.98106527317702,3.7572372115248163,15,0.2504824807683211,True,105,UGC06446_rotmod,2.0
Einasto_alpha0.18,9.860329696317887,86.56903290416702,3.860094796389847,15,0.2573396530926565,True,93,UGC06446_rotmod,3.0
GenFT,1.147534999918211,207.70234924597474,66.60786169895005,11,6.055260154450004,True,132,UGC06614_rotmod,5.0
NFW,16.379787102481668,425.8669057671206,25.0549858832931,11,2.277725989390282,True,109,UGC06614_rotmod,3.0
Burkert,7.820216129993299,302.54749517689936,53.68865359267347,11,4.880786690243043,True,93,UGC06614_rotmod,4.0
PseudoIso,0.919510975723874,190.99056297415805,18.444263077253137,11,1.6767511888411943,True,111,UGC06614_rotmod,1.0
Einasto_alpha0.18,19.55241520409936,197.99354492214286,19.776730634452484,11,1.797884603132044,True,95,UGC06614_rotmod,2.0
GenFT,0.22316773950271762,43.72813615457541,0.31139247428912903,5,0.06227849485782581,True,121,UGC06628_rotmod,5.0
NFW,3.9636214782169112,92.54648524580595,0.1568666057231874,5,0.03137332114463748,True,110,UGC06628_rotmod,3.0
Burkert,1.5690009480925515,64.7075806675069,0.03421800064469428,5,0.006843600128938856,True,88,UGC06628_rotmod,1.0
PseudoIso,0.6876840932615602,46.65943511905117,0.11445315618607946,5,0.02289063123721589,True,103,UGC06628_rotmod,2.0
Einasto_alpha0.18,5.642951347027694,43.444387823380396,0.24606830322036083,5,0.04921366064407216,True,84,UGC06628_rotmod,4.0
GenFT,0.3942649877097091,85.82006914809877,0.40012697158722477,7,0.05716099594103211,True,132,UGC06667_rotmod,1.0
NFW,26.82927230431745,280.0238711599057,11.369815547441952,7,1.624259363920279,True,131,UGC06667_rotmod,4.0
Burkert,3.343964321389027,134.35060266525832,0.7358510644868497,7,0.10512158064097853,True,98,UGC06667_rotmod,2.0
PseudoIso,1.962516613334969,107.58983220906856,1.7174307777025608,7,0.2453472539575087,True,95,UGC06667_rotmod,3.0
Einasto_alpha0.18,51.84620048420537,88.5280840724687,17.996984757678902,7,2.5709978225255576,True,152,UGC06667_rotmod,5.0
GenFT,0.5190647428180426,250.37607225303094,1844.7199017243877,43,42.90046283079971,True,132,UGC06786_rotmod,5.0
NFW,5.515461337946834,496.9651940212938,158.49048504754853,43,3.6858252336639192,True,113,UGC06786_rotmod,3.0
Burkert,3.1229326395066495,360.8255587216071,735.7153024702387,43,17.109658196982295,True,107,UGC06786_rotmod,4.0
PseudoIso,0.39823271154099954,230.03130623505086,56.37565150886696,43,1.311061662996906,True,110,UGC06786_rotmod,1.0
Einasto_alpha0.18,5.964847980337003,229.46107591330863,76.10586506821713,43,1.769903838795747,True,69,UGC06786_rotmod,2.0
GenFT,0.495860047443457,256.0696418849668,8343.014884830469,69,120.91325920044157,True,127,UGC06787_rotmod,5.0
NFW,4.304736201466623,532.4954998391073,3316.5548196872423,69,48.06601187952525,True,109,UGC06787_rotmod,3.0
Burkert,2.5847283671350336,383.21640328996415,5618.9466127365895,69,81.43400888024043,True,97,UGC06787_rotmod,4.0
PseudoIso,2.193908718593365e-08,240.72495704963933,1744.7087844865305,69,25.285634557775804,True,188,UGC06787_rotmod,1.0
Einasto_alpha0.18,4.554037848264741,246.41953578164566,2896.4014894622564,69,41.97683318061241,True,91,UGC06787_rotmod,2.0
GenFT,0.7610985597102199,93.4133278963935,5.600592647359908,6,0.933432107893318,True,180,UGC06818_rotmod,1.0
NFW,100373.58784254253,12246.190294751934,10.841231820156214,6,1.8068719700260356,True,930,UGC06818_rotmod,4.0
Burkert,6.485862520509821,146.26139847938123,5.762072095930289,6,0.9603453493217149,True,124,UGC06818_rotmod,2.0
PseudoIso,4.1697608436604305,123.45391772437355,5.998780802527085,6,0.9997968004211808,True,123,UGC06818_rotmod,3.0
Einasto_alpha0.18,52.00114661000464,66.73102062215173,21.587789242475676,6,3.597964873745946,True,176,UGC06818_rotmod,5.0
GenFT,0.40114453446050574,105.25353779737503,6.7768012559897,9,0.7529779173321889,True,124,UGC06917_rotmod,5.0
NFW,12.750541437834855,261.96185502990926,4.698991923647155,9,0.5221102137385727,True,120,UGC06917_rotmod,3.0
Burkert,3.1852740259969536,161.33217820136628,3.1188561518324702,9,0.34653957242583,True,90,UGC06917_rotmod,2.0
PseudoIso,1.700883269340156,124.57517383610141,1.798307946749181,9,0.19981199408324232,True,104,UGC06917_rotmod,1.0
Einasto_alpha0.18,26.039484352969865,112.43291282142177,6.38613979235721,9,0.70957108803969,True,121,UGC06917_rotmod,4.0
